ljfxtc;90hwnk9;v03idh3;90hwnk10;v03idh4;90hwnk11;v03idh5;90hwnk12;v03idh6;90hwnk13;v03idh7;90hwnk17;v03idh11;90hwnk20;v03idh14;90hwnk21;v03idh15;90hwnk22;v03idh16;90hwnk25;v03idh19;qubdny;nndkn7;2em8jo;1jclu3;5lkssg;codq0a;jrowix;z6mcrk;y1igza;tt2yek;vdipua;zofpqz;hfeoow;n4y3fs;2zbgtn;tm1bdf;fnz5f1;enjcyd;aeoqyi;# ResponseStatus;# Date;# Identifier;# ResponseKey;# DiffusionDate
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;90%;Nein;90%;Ja;90%;Ja;90%;Ja;95%;Nein;95%;Nein;93%;Ja;95%;Ja;95%;Ja;97%;Stimme voll zu;Keine Angabe;Stimme voll zu;Stimme voll zu;Stimme voll zu;Stimme gar nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme voll zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;35 - 50;Weiblich;Komplette Antwort;24.07.2023 10:38;;Reponse71;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;60%;Ja;100%;Ja;100%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;24.07.2023 11:12;;Reponse75;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;54%;Nein;50%;Ja;55%;Ja;65%;Ja;69%;Nein;65%;Ja;59%;Ja;64%;Ja;73%;Ja;76%;Keine Angabe;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Keine Angabe;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;25 - 34;Weiblich;Komplette Antwort;24.07.2023 11:04;;Reponse74;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;44%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;24.07.2023 10:39;;Reponse72;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;88%;Ja;88%;Ja;94%;Ja;95%;Ja;92%;Nein;93%;Ja;93%;Ja;93%;Ja;94%;Stimme eher zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Keine Angabe;Stimme eher zu;Keine Angabe;Stimme weder zu noch nicht zu;Stimme eher zu;Keine Angabe;Keine Angabe;Stimme eher zu;Keine Angabe;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;25 - 34;Weiblich;Komplette Antwort;24.07.2023 10:51;;Reponse73;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;50%;Nein;31%;Ja;50%;Ja;61%;Ja;65%;Ja;70%;Ja;75%;Ja;76%;Ja;77%;Ja;76%;Stimme eher zu;Keine Angabe;Stimme gar nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme voll zu;Keine Angabe;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;18 - 24;Männlich;Komplette Antwort;24.07.2023 11:19;;Reponse76;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;50%;Nein;31%;Ja;52%;Ja;59%;Nein;51%;Ja;54%;Ja;60%;Ja;68%;Ja;62%;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;25 - 34;Männlich;Komplette Antwort;18.07.2023 16:36;;Reponse61;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;50%;Ja;100%;Ja;100%;Ja;100%;Ja;80%;Ja;100%;Ja;100%;Ja;100%;Ja;100%;Stimme voll zu;Stimme eher zu;Keine Angabe;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme voll zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;über 50;Weiblich;Komplette Antwort;18.07.2023 11:46;;Reponse60;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;22%;Nein;25%;Ja;29%;Ja;51%;Ja;36%;Nein;32%;Ja;37%;Ja;42%;Ja;43%;Ja;56%;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;18 - 24;Männlich;Komplette Antwort;20.07.2023 10:05;;Reponse66;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;19.07.2023 20:28;;Reponse62;13.07.2023 14:19
