ljfxtc;90hwnk9;v03idh3;90hwnk10;v03idh4;90hwnk11;v03idh5;90hwnk12;v03idh6;90hwnk13;v03idh7;90hwnk17;v03idh11;90hwnk20;v03idh14;90hwnk21;v03idh15;90hwnk22;v03idh16;90hwnk25;v03idh19;qubdny;nndkn7;2em8jo;1jclu3;5lkssg;codq0a;jrowix;z6mcrk;y1igza;tt2yek;vdipua;zofpqz;hfeoow;n4y3fs;2zbgtn;tm1bdf;fnz5f1;enjcyd;aeoqyi;# ResponseStatus;# Date;# Identifier;# ResponseKey;# DiffusionDate
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;50%;Nein;23%;Ja;60%;Ja;50%;Ja;50%;Nein;23%;Nein;10%;Nein;7%;Ja;70%;Nein;47%;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;über 50;Männlich;Komplette Antwort;19.07.2023 20:59;;Reponse30;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;75%;Nein;50%;Nein;50%;Ja;50%;Ja;50%;Nein;50%;Ja;50%;Ja;50%;Ja;50%;Ja;50%;Stimme eher zu;Stimme eher nicht zu;Stimme voll zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;über 50;Weiblich;Komplette Antwort;20.07.2023 10:51;;Reponse33;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;14%;Nein;6%;Ja;44%;Nein;12%;Ja;42%;Nein;4%;Ja;50%;Ja;56%;Ja;61%;Ja;82%;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;25 - 34;Weiblich;Komplette Antwort;20.07.2023 08:49;;Reponse31;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;74%;Nein;0%;Ja;74%;Ja;74%;Ja;76%;Ja;74%;Ja;72%;Ja;75%;Ja;75%;Ja;77%;Stimme eher zu;Keine Angabe;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme voll zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;25 - 34;Weiblich;Komplette Antwort;20.07.2023 10:31;;Reponse32;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;20.07.2023 14:09;;Reponse34;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;50%;Nein;30%;Ja;30%;Ja;38%;Nein;30%;Nein;25%;Ja;25%;Ja;30%;Ja;33%;Ja;43%;Stimme weder zu noch nicht zu;Keine Angabe;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Keine Angabe;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;25 - 34;Weiblich;Komplette Antwort;20.07.2023 17:14;;Reponse35;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;20.07.2023 18:58;;Reponse36;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;21.07.2023 05:59;;Reponse37;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;50%;Ja;75%;Ja;88%;Ja;95%;Ja;99%;Ja;100%;Ja;100%;Ja;100%;Ja;100%;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;18 - 24;Männlich;Komplette Antwort;21.07.2023 08:28;;Reponse38;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;21.07.2023 09:21;;Reponse39;13.07.2023 14:22
